Année,Région,S_Prevu,S_realise,Taux_realisation,Ecart_surface,Pluie_Annuelle_mm,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA,Rdt_region_kg_ha,Production_region_T,Type_sol_Alluvions récentes argilo-limoneuses / sols ferrugineux,Type_sol_Sols ferrugineux tropicaux graveleux sur granite,"Type_sol_Sols ferrugineux tropicaux lessivés, localement hydromorphes",Type_sol_Sols ferrugineux tropicaux sableux sur socle granitique,Type_sol_Sols ferrugineux tropicaux sableux à sablo-argileux,"Type_sol_Sols ferrugineux tropicaux sableux, peu profonds","Type_sol_Sols ferrugineux tropicaux, localement vertiques",Type_sol_Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,Formule_NPKSB_15.20.15.5.1,Formule_NPKSB_22.23.15.5.1,idRegion,NbTotalGrosProducteur,NbTotalGrpt,NbGrptPilote,NbGrptSatellite,NbGrptFerme,NbGrptOuvert,prix_moyen_article,Tonnage_S_realise,Tonnage_Credit,Tonnage_Arriere
2019,Ngong,27408.0,28154.0,1.0272,746.0,1188,300,100,8,8446200,2815400,225232.0,138205,3891018613,1466,41284.0,0,0,0,0,0,1,0,0,1,0,8,1949,278,177,10,18,187,0,0,0,0
2020,Ngong,28221.0,28909.0,1.0244,688.0,697,300,100,8,8672700,2890900,231272.0,139320,4027595024,1608,46488.4,0,0,0,0,0,1,0,0,1,0,8,2058,278,185,6,18,191,0,0,0,0
2021,Ngong,28122.0,29175.0,1.0374,1053.0,927,300,100,8,8752500,2917500,233400.0,133888,3906190387,1606,46868.3,0,0,0,0,0,1,0,0,1,0,8,2538,278,193,9,15,202,0,0,0,0
2013,Tchatibali,18045.0,14240.0,0.7891,-3805.0,778,300,0,8,4272000,0,113920.0,137640,1959987661,1189,16929.2,0,1,0,0,0,0,0,0,0,1,3,0,190,166,19,0,185,0,0,0,0
2014,Tchatibali,13658.0,13209.5,0.9672,-448.5,988,300,0,8,3962850,0,105676.0,140968,1862111549,1407,18583.2,0,1,0,0,0,0,0,0,0,1,3,0,191,164,10,0,174,0,0,0,0
2015,Tchatibali,13059.0,12388.0,0.9486,-671.0,669,300,0,8,3716400,0,99104.0,142114,1760512967,1241,15375.6,0,1,0,0,0,0,0,0,0,1,3,126,191,143,29,0,172,0,0,0,0
2016,Tchatibali,11876.0,12712.0,1.0704,836.0,504,300,0,8,3813600,0,101696.0,139122,1768525137,1318,16750.0,0,1,0,0,0,0,0,0,0,1,3,215,191,140,32,0,172,0,0,0,0
2017,Tchatibali,14186.0,14036.0,0.9894,-150.0,835,300,0,8,4210800,0,112288.0,143108,2008669508,1395,19581.8,0,1,0,0,0,0,0,0,0,1,3,385,191,143,17,0,160,0,0,0,0
2018,Tchatibali,14872.0,14609.0,0.9823,-263.0,782,300,0,8,4382700,0,116872.0,148701,2172376255,1584,23137.9,0,1,0,0,0,0,0,0,0,1,3,408,191,138,11,5,149,0,0,0,0
2019,Tchatibali,15363.0,16336.0,1.0633,973.0,1162,300,0,8,4900800,0,130688.0,138205,2257714004,1468,23977.7,0,1,0,0,0,0,0,0,0,1,3,333,191,144,2,3,146,0,0,0,0
2020,Tchatibali,19258.0,18187.0,0.9444,-1071.0,782,300,0,8,5456100,0,145496.0,139320,2533808527,1603,29162.3,0,1,0,0,0,0,0,0,0,1,3,416,191,156,1,3,157,0,0,0,0
2021,Tchatibali,16888.0,18186.0,1.0769,1298.0,1033,300,0,8,5455800,0,145488.0,133888,2434892146,1601,29110.0,0,1,0,0,0,0,0,0,0,1,3,599,191,157,0,4,157,0,0,0,0
2012,Touboro,18815.75,18170.0,0.9657,-645.75,1628,300,100,8,5451000,1817000,145360.0,133211,2420445121,1137,20653.3,0,0,0,0,0,0,1,0,1,0,7,0,171,123,38,0,161,0,0,0,0
2013,Touboro,15791.0,15650.0,0.9911,-141.0,1232,300,100,8,4695000,1565000,125200.0,137640,2154059473,1164,18218.7,0,0,0,0,0,0,1,0,1,0,7,0,171,123,38,0,161,0,0,0,0
2014,Touboro,17710.0,17543.0,0.9906,-167.0,1413,300,100,8,5262900,1754300,140344.0,140968,2472994656,1384,24273.8,0,0,0,0,0,0,1,0,1,0,7,0,171,121,41,0,162,0,0,0,0
2015,Touboro,16473.0,18848.0,1.1442,2375.0,2009,300,100,8,5654400,1884800,150784.0,142114,2678571876,1168,22018.7,0,0,0,0,0,0,1,0,1,0,7,745,173,126,37,0,163,0,0,0,0
2016,Touboro,15033.0,14466.0,0.9623,-567.0,947,300,100,8,4339800,1446600,115728.0,139122,2012545991,1294,18712.3,0,0,0,0,0,0,1,0,1,0,7,608,173,121,42,0,163,0,0,0,0
2017,Touboro,10609.0,11908.0,1.1224,1299.0,1573,300,100,8,3572400,1190800,95264.0,143108,1704134832,1355,16134.6,0,0,0,0,0,0,1,0,1,0,7,623,173,105,31,0,136,0,0,0,0
2018,Touboro,16312.0,16588.0,1.0169,276.0,1184,300,100,8,4976400,1658800,132704.0,148701,2466655988,1562,25909.3,0,0,0,0,0,0,1,0,1,0,7,996,173,128,13,0,141,0,0,0,0
2019,Touboro,14037.0,19619.75,1.3977,5582.75,1532,300,100,8,5885925,1961975,156958.0,138205,2711544094,1448,28402.3,0,0,0,0,0,0,1,0,1,0,7,908,173,135,9,25,144,0,0,0,0
2020,Touboro,19476.75,19787.0,1.0159,310.25,1276,300,100,8,5936100,1978700,158296.0,139320,2756720147,1577,31195.7,0,0,0,0,0,0,1,0,1,0,7,888,173,137,14,19,151,0,0,0,0
2021,Touboro,20154.0,21193.0,1.0516,1039.0,1245,300,100,8,6357900,2119300,169544.0,133888,2837494186,1589,33678.7,0,0,0,0,0,0,1,0,1,0,7,888,173,139,10,21,149,0,0,0,0
