idCampagne,campagne,idRegion,libelleRegion,idSecteur,libelleSecteur,idGroupement,libelleGroupement,S_Prevu,S_realise,TonnagePrevu,TonnageRealise,TonnageEvacue,TonnageAchete,TonnagePaye,NetAPaye,MontantPaye,Credit,RemboursementCredit,Arriere,RemboursementArriere
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,151.0,167.0,269000,182880,182880,0,0,0,0,95527350,95527350,2904833,0
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,113.0,113.0,173000,203100,203100,0,0,0,0,93725960,93725960,21529105,19227960
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,102.0,102.0,130000,154420,154420,0,0,0,0,78000840,78000840,20866471,2925550
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,105.0,101.0,133000,120030,120030,0,0,0,0,83399536,83399536,25241821,131556
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,91.0,97.0,116000,118700,118700,0,0,0,0,63365160,63365160,16740176,47000
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,145.0,148.0,186515,139740,139740,0,0,0,0,113928896,113928896,24648055,3613205
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,0.0,0.0,300000,214650,214650,0,0,0,0,135050244,133803860,18472060,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,85.0,89.0,120000,89040,25834,25834,0,3922110,0,104898000,16557050,15105640,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,112.0,112.0,185000,100880,100880,97814,97814,8602960,8602960,78872250,73067700,5524680,0
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,163.0,165.0,265000,216980,216980,212740,212740,12473670,12473670,101429720,99855720,5399151,126350
