Année,Région,Type_sol,S_Prevu,S_realise,Taux_realisation,Ecart_surface,Nb_Planteurs_region,Pluie_Annuelle_mm,Pluie_cycle_mm,Pluie_0_30j_mm,Pluie_30_60j_mm,Pluie_60_90j_mm,Pluie_90_120j_mm,Formule_NPKSB,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA,Rdt_region_kg_ha,Production_region_T
2015,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,18002.5,18525.75,1.0291,523.25,18447.0,1282.0,1050.0,138.0,315.0,197.0,262.0,15.20.15.5.1,300,100,8,5557725,1852575,148206.0,142114.0,2632775516.0,1208.0,22375.4
2016,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,17747.0,17851.0,1.0059,104.0,16545.0,1183.0,899.0,120.0,139.0,350.0,147.0,15.20.15.5.1,300,100,8,5355300,1785100,142808.0,139122.0,2483475631.0,1281.0,22861.5
2017,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,18149.0,18490.0,1.0188,341.0,15418.0,1532.0,1130.0,172.0,221.0,314.0,229.0,15.20.15.5.1,300,100,8,5547000,1849000,147920.0,143108.0,2646074324.0,1357.0,25094.1
2018,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,20679.0,21513.0,1.0403,834.0,16839.0,1390.0,1181.0,152.0,208.0,310.0,297.0,15.20.15.5.1,300,100,8,6453900,2151300,172104.0,148701.0,3199009541.0,1551.0,33360.5
2019,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,19741.0,21288.0,1.0784,1547.0,17018.0,1672.0,1173.0,272.0,179.0,209.0,277.0,15.20.15.5.1,300,100,8,6386400,2128800,170304.0,138205.0,2942104292.0,1440.0,30655.1
2020,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,18949.0,19194.0,1.0129,245.0,15467.0,1213.0,824.0,112.0,141.0,209.0,205.0,15.20.15.5.1,300,100,8,5758200,1919400,153552.0,139320.0,2674103528.0,1580.0,30326.6
2021,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,19911.0,19916.0,1.0003,5.0,13889.0,1370.0,977.0,96.0,257.0,227.0,246.0,15.20.15.5.1,300,100,8,5974800,1991600,159328.0,133888.0,2666518860.0,1582.0,31513.8
2022,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,21443.0,23034.0,1.0742,1591.0,15411.0,,,,,,,15.20.15.5.1,300,100,8,6910200,2303400,184272.0,156551.0,3605991707.0,,
2023,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,22811.0,23466.0,1.0287,655.0,,,,,,,,15.20.15.5.1,300,100,8,7039800,2346600,187728.0,,,,
2024,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,20865.0,22226.0,1.0652,1361.0,,1320.0,,,,,,15.20.15.5.1,300,100,8,6667800,2222600,177808.0,,,,
2025,Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux,18271.0,20141.0,1.1023,1870.0,,,,,,,,15.20.15.5.1,300,100,8,6042300,2014100,161128.0,,,,
2013,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",24658.5,24085.0,0.9767,-573.5,26262.0,1098.0,,,,,,15.20.15.5.1,300,100,8,7225500,2408500,192680.0,137640.0,3315049355.0,1171.0,28213.8
2014,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",23710.5,24533.75,1.0347,823.25,23889.0,1121.0,392.0,52.0,243.0,97.0,0.0,15.20.15.5.1,300,100,8,7360125,2453375,196270.0,140968.0,3458463925.0,1400.0,34336.7
2015,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",23071.0,25733.0,1.1154,2662.0,25624.0,1007.0,948.0,143.0,97.0,118.0,287.0,15.20.15.5.1,300,100,8,7719900,2573300,205864.0,142114.0,3657029397.0,1223.0,31465.6
2016,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",22093.0,23486.75,1.0631,1393.75,21768.0,813.0,1035.0,267.0,119.0,250.0,288.0,15.20.15.5.1,300,100,8,7046025,2348675,187894.0,139122.0,3267535224.0,1301.0,30552.2
2017,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",23003.0,23064.0,1.0027,61.0,19232.0,853.0,826.0,108.0,136.0,142.0,182.0,15.20.15.5.1,300,100,8,6919200,2306400,184512.0,143108.0,3300652147.0,1394.0,32154.4
2018,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",26918.0,27650.0,1.0272,732.0,21642.0,965.0,916.0,86.0,154.0,301.0,290.0,15.20.15.5.1,300,100,8,8295000,2765000,221200.0,148701.0,4111588984.0,1574.0,43517.0
2019,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",27408.0,28154.0,1.0272,746.0,22506.0,1188.0,1060.0,148.0,182.0,196.0,307.0,15.20.15.5.1,300,100,8,8446200,2815400,225232.0,138205.0,3891018613.0,1466.0,41284.0
2020,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",28221.0,28909.0,1.0244,688.0,23296.0,697.0,723.0,101.0,144.0,216.0,117.0,15.20.15.5.1,300,100,8,8672700,2890900,231272.0,139320.0,4027595024.0,1608.0,46488.4
2021,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",28122.0,29175.0,1.0374,1053.0,20345.0,927.0,772.0,72.0,203.0,223.0,249.0,15.20.15.5.1,300,100,8,8752500,2917500,233400.0,133888.0,3906190387.0,1606.0,46868.3
2022,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",27642.0,27711.0,1.0025,69.0,18540.0,,,,,,,15.20.15.5.1,300,100,8,8313300,2771100,221688.0,156551.0,4338179916.0,,
2023,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",31544.0,31286.0,0.9918,-258.0,,,,,,,,15.20.15.5.1,300,100,8,9385800,3128600,250288.0,,,,
2024,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",30900.0,30695.0,0.9934,-205.0,,810.0,,,,,,15.20.15.5.1,300,100,8,9208500,3069500,245560.0,,,,
