Année,Mois,Station,Pluie_mm
2017,9,Touboro,439.0
2017,10,Garoua,15.0
2017,10,Guider,4.0
2017,10,Homé,51.0
2017,10,Kaélé,9.0
2017,10,Maroua,8.0
2017,10,Mayo Galké,30.0
2017,10,Ngong,21.0
2017,10,Poli,74.0
2017,10,Tchatibali,27.0
2017,10,Touboro,72.0
2017,11,Homé,14.0
2018,3,Homé,37.0
2018,3,Kaélé,3.0
2018,3,Touboro,24.0
2018,4,Garoua,12.0
2018,4,Guider,24.0
2018,4,Homé,49.0
2018,4,Kaélé,5.0
2018,4,Maroua,14.0
2018,4,Mayo Galké,43.0
2018,4,Ngong,28.0
2018,4,Poli,29.0
2018,4,Tchatibali,17.0
2018,4,Touboro,30.0
2018,5,Garoua,80.0
2018,5,Guider,73.0
2018,5,Homé,144.0
2018,5,Kaélé,74.0
2018,5,Maroua,52.0
2018,5,Mayo Galké,153.0
2018,5,Ngong,123.0
2018,5,Poli,195.0
2018,5,Tchatibali,110.0
2018,5,Touboro,177.0
2018,6,Garoua,91.0
2018,6,Guider,95.0
2018,6,Homé,262.0
2018,6,Kaélé,194.0
2018,6,Maroua,214.0
2018,6,Mayo Galké,189.0
2018,6,Ngong,141.0
2018,6,Poli,215.0
2018,6,Tchatibali,256.0
2018,6,Touboro,176.0
2018,7,Garoua,195.0
2018,7,Guider,119.0
2018,7,Homé,198.0
2018,7,Kaélé,262.0
2018,7,Maroua,233.0
2018,7,Mayo Galké,248.0
2018,7,Ngong,184.0
2018,7,Poli,211.0
2018,7,Tchatibali,52.0
2018,7,Touboro,252.0
2018,8,Garoua,477.0
2018,8,Guider,414.0
2018,8,Homé,355.0
2018,8,Kaélé,345.0
2018,8,Maroua,364.0
2018,8,Mayo Galké,312.0
2018,8,Ngong,355.0
2018,8,Poli,457.0
2018,8,Tchatibali,183.0
2018,8,Touboro,358.0
2018,9,Garoua,228.0
2018,9,Guider,101.0
2018,9,Homé,117.0
2018,9,Kaélé,167.0
2018,9,Maroua,212.0
2018,9,Mayo Galké,288.0
2018,9,Ngong,195.0
2018,9,Poli,426.0
2018,9,Tchatibali,186.0
2018,9,Touboro,190.0
2018,10,Garoua,11.0
2018,10,Guider,21.0
2018,10,Homé,75.0
2018,10,Kaélé,44.0
2018,10,Maroua,25.0
2018,10,Mayo Galké,66.0
2018,10,Ngong,7.0
2018,10,Poli,149.0
2018,10,Tchatibali,71.0
2018,10,Touboro,59.0
2018,11,Homé,6.0
2018,11,Touboro,24.0
2019,2,Guider,3.0
2019,2,Homé,41.0
2019,2,Mayo Galké,30.0
2019,2,Poli,25.0
2019,2,Tchatibali,2.0
2019,2,Touboro,7.0
2019,4,Garoua,23.0
2019,4,Guider,3.0
2019,4,Homé,90.0
2019,4,Maroua,5.0
