Date,Station,Pluie_mm
2019-07-14,Garoua,2.0
2019-07-18,Garoua,60.0
2019-07-24,Garoua,13.0
2019-07-26,Garoua,3.0
2019-07-28,Garoua,3.0
2019-07-31,Garoua,4.0
2019-08-01,Garoua,7.0
2019-08-03,Garoua,2.0
2019-08-08,Garoua,3.0
2019-08-11,Garoua,5.0
2019-08-13,Garoua,5.0
2019-08-16,Garoua,8.0
2019-08-17,Garoua,13.0
2019-08-18,Garoua,2.0
2019-08-21,Garoua,1.0
2019-08-22,Garoua,22.0
2019-08-23,Garoua,2.0
2019-08-24,Garoua,2.0
2019-08-27,Garoua,40.0
2019-08-28,Garoua,38.0
2019-08-30,Garoua,21.0
2019-08-31,Garoua,3.0
2019-09-02,Garoua,35.0
2019-09-06,Garoua,15.0
2019-09-09,Garoua,7.0
2019-09-13,Garoua,25.0
2019-09-14,Garoua,1.0
2019-09-15,Garoua,3.0
2019-09-16,Garoua,3.0
2019-09-19,Garoua,40.0
2019-09-25,Garoua,2.0
2019-09-28,Garoua,50.0
2019-09-29,Garoua,3.0
2019-10-03,Garoua,10.0
2019-10-06,Garoua,45.0
2019-10-09,Garoua,2.0
2019-10-11,Garoua,9.0
2019-10-15,Garoua,12.0
2019-10-18,Garoua,22.0
2019-10-22,Garoua,10.0
2019-10-23,Garoua,14.0
2019-10-26,Garoua,45.0
2020-05-13,Garoua,20.0
2020-05-18,Garoua,10.0
2020-05-24,Garoua,1.0
2020-05-27,Garoua,20.0
2020-06-01,Garoua,2.0
2020-06-05,Garoua,20.0
2020-06-10,Garoua,7.0
2020-06-13,Garoua,1.0
2020-06-15,Garoua,10.0
2020-06-17,Garoua,15.0
2020-06-18,Garoua,21.0
2020-06-21,Garoua,20.0
2020-06-25,Garoua,31.0
2020-06-28,Garoua,5.0
2020-07-03,Garoua,5.0
2020-07-07,Garoua,35.0
2020-07-10,Garoua,10.0
2020-07-12,Garoua,6.0
2020-07-14,Garoua,11.0
2020-07-19,Garoua,17.0
2020-07-22,Garoua,4.0
2020-07-23,Garoua,20.0
2020-07-26,Garoua,4.0
2020-07-28,Garoua,2.0
2020-07-29,Garoua,55.0
2020-08-01,Garoua,6.0
2020-08-02,Garoua,30.0
2020-08-19,Garoua,8.0
2020-08-22,Garoua,5.0
2020-08-23,Garoua,25.0
2020-09-04,Garoua,55.0
2020-09-10,Garoua,13.0
2020-09-12,Garoua,3.0
2020-09-13,Garoua,3.0
2020-09-14,Garoua,22.0
2020-09-15,Garoua,44.0
2020-09-16,Garoua,1.0
2020-09-17,Garoua,1.0
2020-09-19,Garoua,18.0
2020-09-23,Garoua,10.0
2020-09-25,Garoua,14.0
2020-09-26,Garoua,52.0
2020-09-28,Garoua,21.0
2020-10-01,Garoua,28.0
2020-10-02,Garoua,2.0
2020-10-05,Garoua,14.0
2020-10-08,Garoua,6.0
2020-10-13,Garoua,22.0
2021-03-13,Garoua,15.0
2021-04-13,Garoua,40.0
2021-04-22,Garoua,4.0
2021-04-24,Garoua,36.0
2021-05-06,Garoua,16.0
2021-05-09,Garoua,8.0
2021-05-12,Garoua,9.0
2021-05-14,Garoua,2.0
2021-05-15,Garoua,12.0
2021-05-17,Garoua,20.0
2021-05-19,Garoua,1.0
2021-05-26,Garoua,1.0
2021-05-31,Garoua,2.0
2021-06-04,Garoua,47.0
2021-06-10,Garoua,2.0
2021-06-11,Garoua,20.0
2021-06-12,Garoua,3.0
2021-06-15,Garoua,17.0
2021-06-17,Garoua,22.0
2021-06-19,Garoua,10.0
2021-06-21,Garoua,26.0
2021-06-22,Garoua,12.0
2021-06-25,Garoua,30.0
2021-06-26,Garoua,20.0
2021-06-28,Garoua,2.0
2021-06-29,Garoua,5.0
2021-07-02,Garoua,70.0
2021-07-05,Garoua,27.0
2021-07-08,Garoua,14.0
2021-07-09,Garoua,10.0
2021-07-11,Garoua,57.0
2021-07-14,Garoua,33.0
2021-07-16,Garoua,5.0
2021-07-22,Garoua,20.0
2021-07-29,Garoua,1.0
2021-07-30,Garoua,11.0
2021-08-01,Garoua,10.0
2021-08-06,Garoua,6.0
2021-08-07,Garoua,15.0
2021-08-08,Garoua,30.0
2021-08-10,Garoua,2.0
2021-08-11,Garoua,106.0
2021-08-15,Garoua,8.0
2021-08-16,Garoua,25.0
2021-08-18,Garoua,30.0
2021-08-19,Garoua,5.0
2021-08-20,Garoua,2.0
2021-08-22,Garoua,11.0
2021-08-25,Garoua,55.0
2021-08-28,Garoua,35.0
2021-08-30,Garoua,5.0
2021-09-02,Garoua,13.0
2021-09-05,Garoua,2.0
2021-09-09,Garoua,63.0
2021-09-20,Garoua,42.0
2021-09-21,Garoua,20.0
2021-09-28,Garoua,15.0
2021-09-29,Garoua,6.0
2021-10-03,Garoua,2.0
2021-10-04,Garoua,8.0
2021-10-16,Garoua,20.0
2021-10-20,Garoua,12.0
2021-10-22,Garoua,7.0
2014-03-27,Guider,7.0
2014-03-28,Guider,4.0
2014-04-19,Guider,9.0
2014-04-22,Guider,33.0
2014-04-23,Guider,4.0
2014-04-30,Guider,2.0
2014-05-01,Guider,11.0
2014-05-05,Guider,18.0
2014-05-06,Guider,5.0
2014-05-12,Guider,9.0
2014-05-23,Guider,23.0
2014-06-02,Guider,12.0
2014-06-06,Guider,6.0
2014-06-10,Guider,7.0
2014-06-15,Guider,22.0
2014-06-17,Guider,1.0
2014-06-21,Guider,4.0
2014-06-22,Guider,20.0
2014-06-27,Guider,24.0
2014-06-28,Guider,28.0
2014-06-29,Guider,25.0
2014-07-02,Guider,30.0
2014-07-03,Guider,1.0
2014-07-07,Guider,47.0
2014-07-08,Guider,1.0
2014-07-14,Guider,8.0
2014-07-16,Guider,33.0
2014-07-25,Guider,11.0
2014-07-28,Guider,27.0
2014-07-31,Guider,1.0
2014-08-01,Guider,4.0
2015-04-09,Guider,3.0
2015-05-03,Guider,4.0
2015-05-22,Guider,1.0
2015-05-25,Guider,15.0
2015-05-27,Guider,6.0
2015-05-29,Guider,12.0
2015-06-05,Guider,10.0
2015-06-11,Guider,36.0
2015-06-14,Guider,5.0
2015-06-17,Guider,5.0
2015-06-18,Guider,2.0
2015-06-20,Guider,3.0
2015-06-24,Guider,10.0
2015-06-25,Guider,17.0
2015-06-29,Guider,25.0
2015-07-04,Guider,9.0
2015-07-10,Guider,5.0
2015-07-11,Guider,20.0
