Date,Station,Pluie_mm
2014-11-24,Garoua,0.0
2014-11-25,Garoua,0.0
2014-11-26,Garoua,0.0
2014-11-27,Garoua,0.0
2014-11-28,Garoua,0.0
2014-11-29,Garoua,0.0
2014-11-30,Garoua,0.0
2014-12-01,Garoua,0.0
2014-12-02,Garoua,0.0
2015-03-26,Garoua,0.0
2015-03-27,Garoua,0.0
2015-03-28,Garoua,0.0
2015-03-29,Garoua,0.0
2015-03-30,Garoua,0.0
2015-03-31,Garoua,0.0
2015-04-01,Garoua,0.0
2015-04-02,Garoua,0.0
2015-04-03,Garoua,0.0
2015-04-04,Garoua,0.0
2015-04-05,Garoua,0.0
2015-04-06,Garoua,0.0
2015-04-07,Garoua,0.0
2015-04-08,Garoua,0.0
2015-04-09,Garoua,0.0
2015-04-10,Garoua,0.0
2015-04-11,Garoua,0.0
2015-04-12,Garoua,0.0
2015-04-13,Garoua,0.0
2015-04-14,Garoua,0.0
2015-04-15,Garoua,0.0
2015-04-16,Garoua,0.0
2015-04-17,Garoua,0.0
2015-04-18,Garoua,0.0
2015-04-19,Garoua,0.0
2015-04-20,Garoua,0.0
2015-04-21,Garoua,0.0
2015-04-22,Garoua,0.0
2015-04-23,Garoua,0.0
2015-04-24,Garoua,0.0
2015-04-25,Garoua,0.0
2015-04-26,Garoua,0.0
2015-04-27,Garoua,0.0
2015-04-28,Garoua,0.0
2015-04-29,Garoua,0.0
2015-04-30,Garoua,0.0
2015-05-01,Garoua,0.0
2015-05-02,Garoua,0.0
2015-05-03,Garoua,0.0
2015-05-04,Garoua,0.0
2015-05-05,Garoua,0.0
2015-05-06,Garoua,0.0
2015-05-07,Garoua,0.0
2015-05-08,Garoua,0.0
2015-05-09,Garoua,0.0
2015-05-10,Garoua,0.0
2015-05-11,Garoua,0.0
2015-05-12,Garoua,0.0
2015-05-13,Garoua,0.0
2015-05-14,Garoua,0.0
2015-05-15,Garoua,0.0
2015-05-16,Garoua,0.0
2015-05-17,Garoua,0.0
2015-05-18,Garoua,0.0
2015-05-19,Garoua,0.0
2015-05-20,Garoua,0.0
2015-05-21,Garoua,0.0
2015-05-22,Garoua,0.0
2015-05-23,Garoua,0.0
2015-05-24,Garoua,0.0
2015-05-25,Garoua,0.0
2015-05-26,Garoua,0.0
2015-05-27,Garoua,0.0
2015-05-28,Garoua,0.0
2015-05-29,Garoua,0.0
2015-05-30,Garoua,0.0
2015-05-31,Garoua,0.0
2015-06-01,Garoua,0.0
2015-06-02,Garoua,0.0
2015-06-03,Garoua,0.0
2015-06-04,Garoua,0.0
2015-06-05,Garoua,0.0
2015-06-06,Garoua,0.0
2015-06-07,Garoua,0.0
2015-06-08,Garoua,0.0
2015-06-09,Garoua,0.0
2015-06-10,Garoua,0.0
2015-06-11,Garoua,0.0
2015-06-12,Garoua,0.0
2015-06-13,Garoua,0.0
2015-06-14,Garoua,0.0
2015-06-15,Garoua,0.0
2015-06-16,Garoua,0.0
2015-06-17,Garoua,0.0
2015-06-18,Garoua,0.0
2015-06-19,Garoua,0.0
2015-06-20,Garoua,0.0
2015-06-21,Garoua,0.0
2015-06-22,Garoua,0.0
2015-06-23,Garoua,0.0
2015-06-24,Garoua,0.0
2015-06-25,Garoua,0.0
2015-06-26,Garoua,0.0
2015-06-27,Garoua,0.0
2015-06-28,Garoua,0.0
2015-06-29,Garoua,0.0
2015-06-30,Garoua,0.0
2015-07-01,Garoua,0.0
2015-07-02,Garoua,0.0
2015-07-03,Garoua,0.0
2015-07-04,Garoua,0.0
2015-07-05,Garoua,0.0
2015-07-06,Garoua,0.0
2015-07-07,Garoua,0.0
2015-07-08,Garoua,0.0
2015-07-09,Garoua,0.0
2015-07-10,Garoua,0.0
2015-07-11,Garoua,0.0
2015-07-12,Garoua,0.0
2015-07-13,Garoua,0.0
2015-07-14,Garoua,0.0
2015-07-15,Garoua,0.0
2015-07-16,Garoua,0.0
2015-07-17,Garoua,0.0
2015-07-18,Garoua,0.0
2015-07-19,Garoua,0.0
2015-07-20,Garoua,0.0
2015-07-21,Garoua,0.0
2015-07-22,Garoua,0.0
2015-07-23,Garoua,0.0
2015-07-24,Garoua,0.0
2015-07-25,Garoua,0.0
2015-07-26,Garoua,0.0
2015-07-27,Garoua,0.0
2015-07-28,Garoua,0.0
2015-07-29,Garoua,0.0
2015-07-30,Garoua,0.0
2015-07-31,Garoua,0.0
2015-08-01,Garoua,0.0
2015-08-02,Garoua,0.0
2015-08-03,Garoua,0.0
2015-08-04,Garoua,0.0
2015-08-05,Garoua,0.0
2015-08-06,Garoua,0.0
2015-08-07,Garoua,0.0
2015-08-08,Garoua,0.0
2015-08-09,Garoua,0.0
2015-08-10,Garoua,0.0
2015-08-11,Garoua,0.0
2015-08-12,Garoua,0.0
2015-08-13,Garoua,0.0
2015-08-14,Garoua,0.0
2015-08-15,Garoua,0.0
2015-08-16,Garoua,0.0
2015-08-17,Garoua,0.0
2015-08-18,Garoua,0.0
2015-08-19,Garoua,0.0
2015-08-20,Garoua,0.0
2015-08-21,Garoua,0.0
2015-08-22,Garoua,0.0
2015-08-23,Garoua,0.0
2015-08-24,Garoua,0.0
2015-08-25,Garoua,0.0
2015-08-26,Garoua,0.0
2015-08-27,Garoua,0.0
2015-08-28,Garoua,0.0
2015-08-29,Garoua,0.0
2015-08-30,Garoua,0.0
2015-08-31,Garoua,0.0
2015-09-01,Garoua,0.0
2015-09-02,Garoua,0.0
2015-09-03,Garoua,0.0
2015-09-04,Garoua,0.0
2015-09-05,Garoua,0.0
2015-09-06,Garoua,0.0
2015-09-07,Garoua,0.0
2015-09-08,Garoua,0.0
2015-09-09,Garoua,0.0
2015-09-10,Garoua,0.0
2015-09-11,Garoua,0.0
2015-09-12,Garoua,0.0
2015-09-13,Garoua,0.0
2015-09-14,Garoua,0.0
2015-09-15,Garoua,0.0
2015-09-16,Garoua,0.0
2015-09-17,Garoua,0.0
2015-09-18,Garoua,0.0
2015-09-19,Garoua,0.0
2015-09-20,Garoua,0.0
2015-09-21,Garoua,0.0
2015-09-22,Garoua,0.0
2015-09-23,Garoua,0.0
2015-09-24,Garoua,0.0
2015-09-25,Garoua,0.0
2015-09-26,Garoua,0.0
2015-09-27,Garoua,0.0
2015-09-28,Garoua,0.0
2015-09-29,Garoua,0.0
2015-09-30,Garoua,0.0
2015-10-01,Garoua,0.0
2015-10-02,Garoua,0.0
2015-10-03,Garoua,0.0
2015-10-04,Garoua,0.0
2015-10-05,Garoua,0.0
2015-10-06,Garoua,0.0
2015-10-07,Garoua,0.0
2015-10-08,Garoua,0.0
2015-10-09,Garoua,0.0
2015-10-10,Garoua,0.0
2015-10-11,Garoua,0.0
2015-10-12,Garoua,0.0
2015-10-13,Garoua,0.0
2015-10-14,Garoua,0.0
2015-10-15,Garoua,0.0
2015-10-16,Garoua,0.0
2015-10-17,Garoua,0.0
2015-10-18,Garoua,0.0
2015-10-19,Garoua,0.0
2015-10-20,Garoua,0.0
2015-10-21,Garoua,0.0
2015-10-22,Garoua,0.0
2015-10-23,Garoua,0.0
2015-10-24,Garoua,0.0
